,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
0,6/30/2012,7/1/2012,Combined Print & E-Book Nonfiction,15.0,1.0,1451661223,9.78145E+12,The stars of the TLC reality show describe their polygamous marriage.,BECOMING SISTER WIVES,"Kody, Meri, Janelle, Christine and Ron Brown"
6,6/30/2012,7/1/2012,,,2.0,307592731,9.78031E+12,"A woman’s account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",WILD,Cheryl Strayed
12,6/30/2012,7/1/2012,,,3.0,1400064163,9.7814E+12,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,UNBROKEN,Laura Hillenbrand
24,6/30/2012,7/1/2012,,,4.0,1596987855,9.7816E+12,"A journalist argues that President Obama is callow, arrogant and unable to lead.",AMATEUR,Edward Klein
30,6/30/2012,7/1/2012,,,5.0,1937856410,9.78194E+12,John Edwards’s mistress and the mother of his child tells her version of their story.,WHAT REALLY HAPPENED,Rielle Hunter
36,6/30/2012,7/1/2012,,,6.0,805093079,9.78081E+12,The anchor of “The O’Reilly Factor” recounts the assassination of Abraham Lincoln.,KILLING LINCOLN,Bill O'Reilly and Martin Dugard
42,6/30/2012,7/1/2012,,,7.0,030740885X,9.78031E+12,"William E. Dodd, the U.S. ambassador to Germany, and his daughter, Martha, in 1930s Berlin.",IN THE GARDEN OF BEASTS,Erik Larson
48,6/30/2012,7/1/2012,,,8.0,385342608,9.78039E+12,The award-winning chef discusses his career and recalls growing up as an Ethiopian child adopted by a Swedish family.,"YES, CHEF",Marcus Samuelsson
54,6/30/2012,7/1/2012,,,9.0,1595230947,9.7816E+12,"A memoir by the Florida senator, the Miami-born child of Cuban exiles.",AMERICAN SON,Marco Rubio
60,6/30/2012,7/1/2012,,,10.0,1451693478,9.78145E+12,"The radio host and founder of GBTV discusses 13 lies that politicians, academics and the media perpetuate.",COWARDS,Glenn Beck and Kevin Balfe
66,6/30/2012,7/1/2012,,,11.0,1400052181,9.7814E+12,The story of a woman whose cancer cells were cultured without her permission in 1951.,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot
73,6/30/2012,7/1/2012,,,12.0,,9.7811E+12,A blogger recalls her unusual upbringing.,LET'S PRETEND THIS NEVER HAPPENED,Jenny Lawson
79,6/30/2012,7/1/2012,,,13.0,None,9.78085E+12,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent
85,6/30/2012,7/1/2012,,,14.0,074324754X,9.78074E+12,The author recalls a bizarre childhood during which she was constantly moved from place to place.,THE GLASS CASTLE,Jeannette Walls
91,6/30/2012,7/1/2012,,,15.0,1451648553,9.78145E+12,"A biography of the recently deceased entrepreneur, based on 40 interviews with Jobs conducted over two years.",STEVE JOBS,Walter Isaacson
100,6/30/2012,7/1/2012,,,16.0,316017930,9.78032E+12,"Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",OUTLIERS,Malcolm Gladwell
108,6/30/2012,7/1/2012,,,17.0,307265943,9.78031E+12,A witty look at aging from the novelist and screenwriter who died on June 26.,I FEEL BAD ABOUT MY NECK,Nora Ephron
